amount,available_cash,required_reserve,pending_concurrent_outflows,agent_trust_score,agent_confidence,policy_violations,urgency_score,liquidity_ratio_before,projected_liquidity_ratio,global_projected_liquidity_ratio,reserve_shortfall,cross_agent_conflict_severity,risk_score,risk_category,recommended_decision
794459.8167226083,1649805.4660567674,342503.96716963477,594548.1902050327,82.31881598998959,0.7100969136200695,0,2.0,4.817,2.497,0.761,81706.51,0.539,29.5,LOW,MODIFY
1169008.5263547115,1386864.8465126355,593644.7744006038,534685.0907253304,70.67509861661014,0.8250951723395343,2,2.0,2.336,0.367,0.0,910473.54,1.0,91.4,CRITICAL,BLOCK
1022390.6198198207,461397.79867875116,369118.23894300096,598348.7540841968,87.1865117901323,0.846433287402445,1,2.0,1.25,0.0,0.0,1528459.81,1.0,84.7,CRITICAL,BLOCK
582123.8840801669,914174.4716507067,165811.8894123813,686144.3599695073,51.07714766334043,0.9391150779919766,3,4.0,5.513,2.003,0.0,519905.66,1.0,92.6,CRITICAL,BLOCK
150204.7629393854,1318362.6090962316,886937.2263089943,223444.15578520592,85.34215214367929,0.9603153961268561,0,2.0,1.486,1.317,1.065,0.0,0.038,17.1,LOW,ALLOW
804935.0951529675,1188021.4156312407,1045384.8949095577,273900.01871150325,70.62530240050657,0.6246159305793207,0,1.0,1.136,0.366,0.104,936198.59,1.0,77.0,HIGH,MODIFY
361898.9853582986,400046.5394295746,320037.2315436597,698645.3911520495,58.114793924252126,0.7701040019526066,3,1.0,1.25,0.119,0.0,980535.07,1.0,98.0,CRITICAL,BLOCK
933334.5197133414,455075.1649739075,364060.131979126,158941.69648535436,83.93115211190471,0.8049741285619524,1,1.0,1.25,0.0,0.0,1001261.18,1.0,85.6,CRITICAL,BLOCK
641735.387805377,614762.3810816596,491809.9048653277,299577.69607752434,45.90814632284207,0.6645978512437184,0,2.0,1.25,0.0,0.0,818360.61,1.0,91.2,CRITICAL,BLOCK
1139189.9387317798,701158.4839823984,560926.7871859188,237197.14516265623,93.15644056188438,0.9790834572486058,2,4.0,1.25,0.0,0.0,1236155.39,1.0,84.5,CRITICAL,BLOCK
852925.8599232978,739987.7771782613,251075.1533455734,534496.1363768897,52.316533181518885,0.8860495912962834,0,1.0,2.947,0.0,0.0,898509.37,1.0,84.4,CRITICAL,BLOCK
919865.5872553069,458824.8213058547,367059.85704468377,645590.6210926478,96.10372615398803,0.6945605944289485,1,4.0,1.25,0.0,0.0,1473691.24,1.0,80.5,CRITICAL,BLOCK
1156395.2392292737,1701792.247822383,245217.71151953802,220974.29716849525,92.66567150268696,0.6481538545573636,1,2.0,6.94,2.224,1.323,0.0,0.262,30.7,LOW,ALLOW
629538.1347856007,789445.0025214572,631556.0020171658,419392.7651799452,85.52782379153518,0.8333941347430098,0,4.0,1.25,0.253,0.0,891041.9,1.0,77.8,HIGH,MODIFY
93779.25237618365,1537241.1154066343,763396.0307200507,783194.3676128997,93.71986370146574,0.7331371042232352,0,1.0,2.014,1.891,0.865,103128.54,0.435,8.7,LOW,ALLOW
706124.5033924478,403107.63067317754,322486.10453854204,700993.8580379526,80.79477845925734,0.9098376894000814,1,2.0,1.25,0.0,0.0,1326496.84,1.0,84.9,CRITICAL,BLOCK
1039451.2309985888,1517166.752263672,1213733.4018109376,193034.07591200637,90.1479593905041,0.7928674026304227,1,4.0,1.25,0.394,0.235,929051.96,1.0,73.5,HIGH,MODIFY
871622.3174453283,1757301.0383986088,528274.8124535287,220692.50884492008,54.8485774902676,0.7980511851477888,0,3.0,3.326,1.677,1.259,0.0,0.495,40.6,MEDIUM,ALLOW
802097.899960335,1090956.9486863809,947963.9923988691,83172.36302675326,86.07439371011696,0.8763263445367377,0,4.0,1.151,0.305,0.217,742277.31,1.0,73.7,HIGH,MODIFY
138279.2382874206,1401602.6607800797,206836.66216018883,670564.5191287992,77.9179887942241,0.6384449242390242,0,2.0,6.776,6.108,2.866,0.0,0.054,10.2,LOW,ALLOW
947882.2581759962,1539757.5964909557,618861.011963855,681786.4266678272,73.82735042975295,0.803878502432538,2,4.0,2.488,0.956,0.0,708772.1,1.0,87.7,CRITICAL,BLOCK
1135680.2120913942,1220473.9952484358,182594.97136774444,79043.36030648249,94.31951187786825,0.9127391459872282,1,3.0,6.684,0.464,0.031,176844.55,1.0,75.7,HIGH,MODIFY
339192.6466729366,834281.210247004,667424.9681976032,626967.8416716999,59.14623178567044,0.8726507270073929,0,2.0,1.25,0.742,0.0,799304.25,1.0,80.9,CRITICAL,MODIFY
487571.83869518177,1185099.8890915248,584539.5535227018,278831.31373505725,88.11269769930409,0.9294407398621454,1,3.0,2.027,1.193,0.716,165842.82,0.584,39.7,MEDIUM,MODIFY
386675.6330142386,1649280.221054138,1453969.89589349,244668.13267051073,93.93610750581696,0.6352686690493388,0,4.0,1.134,0.868,0.7,436033.44,0.6,46.0,MEDIUM,MODIFY
587674.3489295746,563868.4114547423,451094.72916379385,269600.99819837505,65.8283768583166,0.7409706546691107,0,2.0,1.25,0.0,0.0,744501.66,1.0,82.9,CRITICAL,BLOCK
843271.6781969831,1247324.3039768161,997859.4431814529,448388.23256614024,84.64946408596154,0.8099192000879657,0,1.0,1.25,0.405,0.0,1042195.05,1.0,77.7,HIGH,MODIFY
491518.1368151939,1276344.888258391,1021075.9106067129,210696.03649238014,82.23739792458468,0.8078028234689076,0,4.0,1.25,0.769,0.562,446945.2,0.738,52.9,MEDIUM,MODIFY
536617.9051481149,347980.88210005546,278384.70568004437,32618.273770234475,72.33124576617551,0.8603333177949797,0,4.0,1.25,0.0,0.0,499640.0,0.267,68.1,HIGH,BLOCK
975715.1356861147,1775244.7143681254,744480.467398899,116301.35782014337,57.510794955321636,0.9761902882017333,1,4.0,2.385,1.074,0.918,61252.25,0.382,42.1,MEDIUM,MODIFY
500665.04315591644,1192207.0771237512,916915.6973028391,678323.820344039,74.2728411747321,0.844629492420168,2,4.0,1.3,0.754,0.014,903697.48,1.0,93.8,CRITICAL,BLOCK
